food,,,,,,calories,protein,fat,carbs,vata,pitta,kapha,madhra,amla,lavana,katu,titka,kashaya,usna,sitta,madhura,amla.1,katu.1,guru,laghu,snigdha,ruksha,time,vscore,pscore,kscore,label,Diabetes,hypertension
poha,,,,,,143.8,3.5,0.2,26.5,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,2,0,-3,3,pitta,1,1
aloo puri,,,,,,156.4,3.5,3.8,26.4,-1,1,-1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,-4,0,2,vata,1,1
poori bhaji,,,,,,113.8,2.1,0.2,24.9,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,-1,-1,-1,kapha,1,1
rava idli,,,,,,113.8,2.1,0.2,24.9,-1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,0,-2,0,pitta,1,1
vada,,,,,,177.3,1.5,2.49,24.25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-2,-2,2,pitta,1,1
rava pongal,,,,,,172,3,7,24,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,-1,-1,-1,kapha,1,1
oats uttapam,,,,,,102.2,6.5,1.9,23.6,1,1,-1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-1,-3,3,pitta,1,1
oats kheer,,,,,,89.4,1.1,0.3,23.2,1,1,-1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,-3,-3,3,pitta,1,1
oats dhokla,,,,,,146,6,3,23,1,1,-1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,-1,-1,-1,kapha,1,1
oats cheela,,,,,,190,5,9,23,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,-1,-2,0,pitta,1,1
idli fry,,,,,,140,4,5,22,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,2,0,-2,-1,pitta,1,1
thepla,,,,,,113.58,1.57,1.05,21.8,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,2,-2,kapha,1,1
idiyappam,,,,,,85.2,3.1,25.15,21.2,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,kapha,1,1
bisi bele bath,,,,,,606.8,20.7,51.7,21.1,1,1,-1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,-2,-4,4,pitta,1,1
puttu,,,,,,315.54,2.9,2.75,21,1,1,-1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-1,-3,3,pitta,1,1
pav bhaji,,,,,,187,3,10,20,-1,1,-1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,-2,-6,4,pitta,1,1
bhature,,,,,,114.1,7.6,1,19.8,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,-1,-1,-1,kapha,1,1
palak paneer,,,,,,15.4,8.9,0.4,19.2,1,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,-1,1,pitta,1,1
chana masala,,,,,,109,2.6,2.9,18.8,1,1,-1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,2,0,-2,3,pitta,1,1
misal pav,,,,,,80.29,6.84,0.44,18.79,1,-1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,2,-1,-1,0,pitta,1,1
puri,,,,,,117.9,3.65,0.9,18.75,1,1,-1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-1,-3,3,pitta,1,1
sabudana khichdi,,,,,,69.6,0.7,0.2,18.1,1,1,-1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,3,-3,-1,4,vata,1,1
dhokla,,,,,,136,9,12,18,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,2,-1,1,pitta,1,1
breadless sandwich,,,,,,366.3,2.4,17.6,17.2,1,1,-1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,-2,-2,4,pitta,1,1
tarri batata poha,,,,,,340,6.6,1.43,16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,kapha,1,1
spinach paratha,,,,,,186.8,6.2,12,16,-1,1,-1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,-2,-2,0,pitta,1,1
kanda batata poha,,,,,,98.9,2.9,2.8,15.7,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,-3,0,2,vata,1,1
dadpe pohe,,,,,,721.7,6.7,36.8,15.6,1,-1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,2,-1,kapha,1,1
vermichilli kheer,,,,,,56.7,0.4,0.1,14.9,-1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,3,1,-5,2,pitta,1,1
ragi idli,,,,,,146.6,3.9,8.6,14.7,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,-2,-4,4,pitta,1,1
vegetable masala dosa,,,,,,60,1.5,0.3,14.4,1,1,-1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,3,-2,0,3,vata,1,1
uttapam,,,,,,53,0.3,0.2,14.1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,3,-3,1,2,vata,1,1
palak paratha,,,,,,128,3,7,14,-1,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,kapha,1,1
wheat dosa,,,,,,140,1,10,14,-1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,2,0,-4,4,pitta,1,1
moong dal kichdi,,,,,,777.4,2,36.6,13.6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,kapha,1,1
ginger mint turmeric tea,,,,,,65,1,1,13,-1,-1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,2,4,-2,-1,pitta,1,1
mushti dosa,,,,,,46.4,0.7,0.1,11.2,1,-1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3,-4,0,3,vata,1,1
sweet rice appo,,,,,,467.4,1.6,32.75,11.15,1,1,-1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,-2,-2,4,pitta,1,1
banana buns,,,,,,295.8,1.7,1.5,10.1,-1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,-1,-2,kapha,1,1
sabudana dosa,,,,,,47.3,0.3,1,9.3,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,-1,-3,3,pitta,1,1
spring dosa,,,,,,30.3,2,2.3,8,1,1,-1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,-1,0,pitta,1,1
neer dosa,,,,,,26.4,0.8,0.4,7.8,-1,-1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,1,-2,kapha,1,1
soy dosa,,,,,,30.3,0.6,0.1,7.4,-1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,3,1,-3,1,pitta,1,1
ragi dosa,,,,,,22.5,2.4,0.2,7.3,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2,-2,1,pitta,1,1
dosa,,,,,,183.3,7.5,15,5.1,1,1,-1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,-3,-1,1,vata,1,1
wheat upma,,,,,,34,1.3,0.9,5.1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,-1,0,pitta,1,1
cabbage paratha,,,,,,528.9,0.5,50.2,5,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,kapha,1,1
carrot noodles,,,,,,92.5,0.7,0.6,5,-1,-1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,2,-1,-2,kapha,1,1
makhana,,,,,,200,6,19,5,1,1,-1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,-2,-4,4,pitta,1,1
Beaten moong,,,,,,28.4,0.5,1,5,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,kapha,1,1
dry apricot,,,,,,9,2.9,1,4.8,-1,-1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,1,-2,kapha,1,1
glass of orange juice,,,,,,382.4,1.9,4.3,4.6,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,-2,kapha,1,1
banana,,,,,,17,1,0,4,-1,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,-1,-3,1,pitta,1,1
cooked apple,,,,,,18.3,0.8,0.2,4,-1,-1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,3,4,1,-4,kapha,1,1
canteloupe,,,,,,333.4,0.9,12.3,3.9,1,1,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,-2,2,pitta,1,1
pureed carrot soup,,,,,,15.3,0.6,0.1,3.7,1,1,-1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,-2,-4,4,pitta,1,1
almond,,,,,,642.3,10.6,17.9,3.6,1,1,-1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-1,-3,3,pitta,1,1
rice milk,,,,,,36,0.7,1.7,3.4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,kapha,1,1
cucumber milk,,,,,,137,0.7,9.2,2.9,1,-1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,3,2,-3,kapha,1,1
grapes,,,,,,18.5,0,0.2,2,-1,-1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,-2,1,2,vata,1,1
pear,,,,,,124.8,11,0.4,0.7,-1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,-2,0,pitta,1,1
watermelon,,,,,,52.5,28.6,0.2,0.1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,-1,1,pitta,1,1
celery sticks,,,,,,193.1,23.7,7.4,0,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-3,-1,3,vata,1,1
popcorn,,,,,,298,7,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,-1,-1,3,pitta,1,1
pumpkin seeds,,,,,,80,0,0,0,-1,-1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,-1,-1,-1,kapha,1,1
